Sigla= Quant | New Quantidade

DOAC = 86281 | 90183
DOAL = 488325 | 504630
DOAM = 383015 | 402404
DOAP = 68983 | 71573
DOBA = 2094236 | 2161641
DOCE = 1278384 | 1321044
DODF = 297205 | 310399
DOES = 576238 | 598679
DOGO = 899917 | 936534
DOMA = 745054 | 765813
DOMG = 3295874 | 3419505
DOMS = 391912 | 407605
DOMT = 410997 | 429355
DOPA = 867337 | 895546
DOPB = 640786 | 661327
DOPE = 1572695 | 1633870
DOPI = 439777 | 453269
DOPR = 1812366 | 1891256
DORJ = 3481198 | 3630820
DORN = 471290 | 486700
DORO = 194858 | 204225
DORR = 51568 | 53957
DORS = 2150085 | 2231664
DOSC = 964086 | 1001098
DOSE = 309810 | 321213
DOSP = 7365313 | 7681832
DOTO = 172733 | 179250

Atualizado 19/12/2024, com os dados de 1996 até 2023.
